unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,
0,,,,,,,,,,,1,,,,,,,,,,
1,,,,,,,,,,,,135,,,,,,,,,
2,,,,,,,,,,,,,174,,,,,,,,
3,,,,,,,,,,,,,,112,,,,,,,
4,,,,,,,,,,,,,,,217,,,,,,
5,,,,,,,,,,,,,,,,220,,,,,
6,,,,,,,,,,,,,,,,220,,,,,
7,,,,,,,,,,,,,,,,,138,,,,
8,,,,,,,,,,,,,,,,,,254,,,
9,,,,,,,,,,,,,,,,,,,234,,
10,,,,,,,,,,,,,,,,,,,234,,
11,,,,,,,,,,,,,,,,,,,,133,
12,,,,,,,,,,,,,,,,,,,,133,
13,,,,,,,,,,,,,,,,,,,,133,
14,,,,,,,,,,,,,,,,,,,,133,
15,,,,,,,,,,,,,,,,,,,,133,
16,,,,,,,,,,,,,,,,,,,,133,
17,,,,,,,,,,,,,,,,,,,,133,
18,,,,,,,,,,,,,,,,,,,,133,
19,,,,,,,,,,,,,,,,,,,,133,
20,,,,,,,,,,,,,,,,,,,234,,
21,,,,,,,,,,,,,,,,,,,234,,
22,,,,,,,,,,,,,,,,,,254,,,
23,,,,,,,,,,,,,,,,,138,,,,
24,,,,,,,,,,,,,,,,220,,,,,
25,,,,,,,,,,,,,,,217,,,,,,
26,,,,,,,,,,,,,,112,,,,,,,
27,,,,,,,,,,,,,174,,,,,,,,
28,,,,,,,,,,,,135,,,,,,,,,
29,,,,,,,,,,,1,,,,,,,,,,
30,,,,,,,,,,1,,,,,,,,,,,
31,,,,,,,,,1,,,,,,,,,,,,
32,,,,,,,,1,,,,,,,,,,,,,
33,,,,,,,1,,,,,,,,,,,,,,
34,,,,,,1,,,,,,,,,,,,,,,
35,,,,,1,,,,,,,,,,,,,,,,
36,,,,1,,,,,,,,,,,,,,,,,
37,,,,1,,,,,,,,,,,,,,,,,
38,,,1,,,,,,,,,,,,,,,,,,
39,,1,,,,,,,,,,,,,,,,,,,
40,,1,,,,,,,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,,,,,,,,
43,1,,,,,,,,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,,,,,,,,
45,1,,,,,,,,,,,,,,,,,,,,
46,1,,,,,,,,,,,,,,,,,,,,
47,1,,,,,,,,,,,,,,,,,,,,
48,1,,,,,,,,,,,,,,,,,,,,
49,1,,,,,,,,,,,,,,,,,,,,
50,,1,,,,,,,,,,,,,,,,,,,
51,,,1,,,,,,,,,,,,,,,,,,
52,,,1,,,,,,,,,,,,,,,,,,
53,,,,1,,,,,,,,,,,,,,,,,
54,,,,,1,,,,,,,,,,,,,,,,
55,,,,,,1,,,,,,,,,,,,,,,
56,,,,,,,1,,,,,,,,,,,,,,
57,,,,,,,,1,,,,,,,,,,,,,
58,,,,,,,,,1,,,,,,,,,,,,
59,,,,,,,,,,1,,,,,,,,,,,
60,,,,,,,,,,,1,,,,,,,,,,
61,,,,,,,,,,,,135,,,,,,,,,
62,,,,,,,,,,,,,174,,,,,,,,
63,,,,,,,,,,,,,,112,,,,,,,
64,,,,,,,,,,,,,,,217,,,,,,
65,,,,,,,,,,,,,,,,220,,,,,
66,,,,,,,,,,,,,,,,,138,,,,
67,,,,,,,,,,,,,,,,,138,,,,
68,,,,,,,,,,,,,,,,,,254,,,
69,,,,,,,,,,,,,,,,,,,234,,
70,,,,,,,,,,,,,,,,,,,234,,
71,,,,,,,,,,,,,,,,,,,,133,
72,,,,,,,,,,,,,,,,,,,,133,
73,,,,,,,,,,,,,,,,,,,,133,
74,,,,,,,,,,,,,,,,,,,,133,
75,,,,,,,,,,,,,,,,,,,,133,
76,,,,,,,,,,,,,,,,,,,,133,
77,,,,,,,,,,,,,,,,,,,,133,
78,,,,,,,,,,,,,,,,,,,,133,
79,,,,,,,,,,,,,,,,,,,234,,
80,,,,,,,,,,,,,,,,,,,234,,
81,,,,,,,,,,,,,,,,,,254,,,
82,,,,,,,,,,,,,,,,,,254,,,
83,,,,,,,,,,,,,,,,,138,,,,
84,,,,,,,,,,,,,,,,220,,,,,
85,,,,,,,,,,,,,,,217,,,,,,
86,,,,,,,,,,,,,,112,,,,,,,
87,,,,,,,,,,,,,174,,,,,,,,
88,,,,,,,,,,,,135,,,,,,,,,
89,,,,,,,,,,,1,,,,,,,,,,
90,,,,,,,,,,1,,,,,,,,,,,
91,,,,,,,,,1,,,,,,,,,,,,
92,,,,,,,,1,,,,,,,,,,,,,
93,,,,,,,1,,,,,,,,,,,,,,
94,,,,,,1,,,,,,,,,,,,,,,
