unix_time,S0,S1,S2,S3,S4,F0,F1,F2,F3,F4,
0,1,,,,,,,,,,
1,,1,,,,,,,,,
2,,,1,,,,,,,,
3,,,,1,,,,,,,
4,,,,,1,,,,,,
5,,,,,,1,,,,,
6,,,,,,,61,,,,
7,,,,,,,,152,,,
8,,,,,,,,,48,,
9,,,,,,,,,,44,
10,1,,,,,,,,,,
11,,1,,,,,,,,,
12,,,1,,,,,,,,
13,,,,1,,,,,,,
14,,,,,1,,,,,,
15,,,,,,1,,,,,
16,,,,,,,61,,,,
17,,,,,,,,152,,,
18,,,,,,,,,48,,
19,,,,,,,,,,44,
20,1,,,,,,,,,,
21,,1,,,,,,,,,
22,,,1,,,,,,,,
23,,,,1,,,,,,,
24,,,,,1,,,,,,
25,,,,,,1,,,,,
26,,,,,,,61,,,,
27,,,,,,,,152,,,
28,,,,,,,,,48,,
29,,,,,,,,,,44,
30,1,,,,,,,,,,
31,,1,,,,,,,,,
32,,,1,,,,,,,,
33,,,,1,,,,,,,
34,,,,,1,,,,,,
35,,,,,,1,,,,,
36,,,,,,,61,,,,
37,,,,,,,,152,,,
38,,,,,,,,,48,,
39,,,,,,,,,,44,
40,1,,,,,,,,,,
41,,1,,,,,,,,,
42,,,1,,,,,,,,
43,,,,1,,,,,,,
44,,,,,1,,,,,,
45,,,,,,1,,,,,
46,,,,,,,61,,,,
47,,,,,,,,152,,,
48,,,,,,,,,48,,
49,,,,,,,,,,44,
50,1,,,,,,,,,,
51,,1,,,,,,,,,
52,,,1,,,,,,,,
53,,,,1,,,,,,,
54,,,,,1,,,,,,
55,,,,,,1,,,,,
56,,,,,,,61,,,,
57,,,,,,,,152,,,
58,,,,,,,,,48,,
59,,,,,,,,,,44,
60,1,,,,,,,,,,
61,,1,,,,,,,,,
62,,,1,,,,,,,,
63,,,,1,,,,,,,
64,,,,,1,,,,,,
65,,,,,,1,,,,,
66,,,,,,,61,,,,
67,,,,,,,,152,,,
68,,,,,,,,,48,,
69,,,,,,,,,,44,
70,1,,,,,,,,,,
71,,1,,,,,,,,,
72,,,1,,,,,,,,
73,,,,1,,,,,,,
74,,,,,1,,,,,,
75,,,,,,1,,,,,
76,,,,,,,61,,,,
77,,,,,,,,152,,,
78,,,,,,,,,48,,
79,,,,,,,,,,44,
80,1,,,,,,,,,,
81,,1,,,,,,,,,
82,,,1,,,,,,,,
83,,,,1,,,,,,,
84,,,,,1,,,,,,
85,,,,,,1,,,,,
86,,,,,,,61,,,,
87,,,,,,,,152,,,
88,,,,,,,,,48,,
89,,,,,,,,,,44,
90,1,,,,,,,,,,
91,,1,,,,,,,,,
92,,,1,,,,,,,,
93,,,,1,,,,,,,
94,,,,,1,,,,,,
95,,,,,,1,,,,,
96,,,,,,,61,,,,
97,,,,,,,,152,,,
98,,,,,,,,,48,,
99,,,,,,,,,,44,
100,1,,,,,,,,,,
101,,1,,,,,,,,,
102,,,1,,,,,,,,
103,,,,1,,,,,,,
104,,,,,1,,,,,,
105,,,,,,1,,,,,
106,,,,,,,61,,,,
107,,,,,,,,152,,,
108,,,,,,,,,48,,
109,,,,,,,,,,44,
110,1,,,,,,,,,,
111,,1,,,,,,,,,
112,,,1,,,,,,,,
113,,,,1,,,,,,,
114,,,,,1,,,,,,
115,,,,,,1,,,,,
116,,,,,,,61,,,,
117,,,,,,,,152,,,
118,,,,,,,,,48,,
119,,,,,,,,,,44,
120,1,,,,,,,,,,
121,,1,,,,,,,,,
122,,,1,,,,,,,,
123,,,,1,,,,,,,
124,,,,,1,,,,,,
125,,,,,,1,,,,,
126,,,,,,,61,,,,
127,,,,,,,,152,,,
128,,,,,,,,,48,,
129,,,,,,,,,,44,
130,1,,,,,,,,,,
131,,1,,,,,,,,,
132,,,1,,,,,,,,
133,,,,1,,,,,,,
134,,,,,1,,,,,,
135,,,,,,1,,,,,
136,,,,,,,61,,,,
137,,,,,,,,152,,,
138,,,,,,,,,48,,
139,,,,,,,,,,44,
140,1,,,,,,,,,,
141,,1,,,,,,,,,
142,,,1,,,,,,,,
143,,,,1,,,,,,,
144,,,,,1,,,,,,
145,,,,,,1,,,,,
146,,,,,,,61,,,,
147,,,,,,,,152,,,
148,,,,,,,,,48,,
149,,,,,,,,,,44,
150,1,,,,,,,,,,
151,,1,,,,,,,,,
152,,,1,,,,,,,,
153,,,,1,,,,,,,
154,,,,,1,,,,,,
155,,,,,,1,,,,,
156,,,,,,,61,,,,
157,,,,,,,,152,,,
158,,,,,,,,,48,,
159,,,,,,,,,,44,
160,1,,,,,,,,,,
161,,1,,,,,,,,,
162,,,1,,,,,,,,
163,,,,1,,,,,,,
164,,,,,1,,,,,,
165,,,,,,1,,,,,
166,,,,,,,61,,,,
167,,,,,,,,152,,,
168,,,,,,,,,48,,
169,,,,,,,,,,44,
170,1,,,,,,,,,,
171,,1,,,,,,,,,
172,,,1,,,,,,,,
173,,,,1,,,,,,,
174,,,,,1,,,,,,
175,,,,,,1,,,,,
176,,,,,,,61,,,,
177,,,,,,,,152,,,
178,,,,,,,,,48,,
179,,,,,,,,,,44,
180,1,,,,,,,,,,
181,,1,,,,,,,,,
182,,,1,,,,,,,,
183,,,,1,,,,,,,
184,,,,,1,,,,,,
185,,,,,,1,,,,,
186,,,,,,,61,,,,
187,,,,,,,,152,,,
188,,,,,,,,,48,,
189,,,,,,,,,,44,
190,1,,,,,,,,,,
191,,1,,,,,,,,,
192,,,1,,,,,,,,
193,,,,1,,,,,,,
194,,,,,1,,,,,,
195,,,,,,1,,,,,
196,,,,,,,61,,,,
197,,,,,,,,152,,,
198,,,,,,,,,48,,
199,,,,,,,,,,44,
200,1,,,,,,,,,,
201,,1,,,,,,,,,
202,,,1,,,,,,,,
203,,,,1,,,,,,,
204,,,,,1,,,,,,
205,,,,,,1,,,,,
206,,,,,,,61,,,,
207,,,,,,,,152,,,
208,,,,,,,,,48,,
209,,,,,,,,,,44,
210,1,,,,,,,,,,
211,,1,,,,,,,,,
212,,,1,,,,,,,,
213,,,,1,,,,,,,
214,,,,,1,,,,,,
215,,,,,,1,,,,,
216,,,,,,,61,,,,
217,,,,,,,,152,,,
218,,,,,,,,,48,,
219,,,,,,,,,,44,
220,1,,,,,,,,,,
221,,1,,,,,,,,,
222,,,1,,,,,,,,
223,,,,1,,,,,,,
224,,,,,1,,,,,,
225,,,,,,1,,,,,
226,,,,,,,61,,,,
227,,,,,,,,152,,,
228,,,,,,,,,48,,
229,,,,,,,,,,44,
