unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,
0,,,,,,,,,,,1,,,,,,,,,,
1,,,,,,,,,,,,32,,,,,,,,,
2,,,,,,,,,,,,,,140,,,,,,,
3,,,,,,,,,,,,,,,,22,,,,,
4,,,,,,,,,,,,,,,,,,156,,,
5,,,,,,,,,,,,,,,,,,,85,,
6,,,,,,,,,,,,,,,,,,,,248,
7,,,,,,,,,,,,,,,,,,,,248,
8,,,,,,,,,,,,,,,,,,,,248,
9,,,,,,,,,,,,,,,,,,,,248,
10,,,,,,,,,,,,,,,,,,,,248,
11,,,,,,,,,,,,,,,,,,,85,,
12,,,,,,,,,,,,,,,,,200,,,,
13,,,,,,,,,,,,,,,,22,,,,,
14,,,,,,,,,,,,,,140,,,,,,,
15,,,,,,,,,,,,32,,,,,,,,,
16,,,,,,,,,,1,,,,,,,,,,,
17,,,,,,,,1,,,,,,,,,,,,,
18,,,,,,1,,,,,,,,,,,,,,,
19,,,,1,,,,,,,,,,,,,,,,,
20,,,1,,,,,,,,,,,,,,,,,,
21,,1,,,,,,,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,,,,,,,,
26,,1,,,,,,,,,,,,,,,,,,,
27,,,1,,,,,,,,,,,,,,,,,,
28,,,,1,,,,,,,,,,,,,,,,,
29,,,,,,1,,,,,,,,,,,,,,,
30,,,,,,,,1,,,,,,,,,,,,,
31,,,,,,,,,,1,,,,,,,,,,,
32,,,,,,,,,,,,32,,,,,,,,,
33,,,,,,,,,,,,,,140,,,,,,,
34,,,,,,,,,,,,,,,170,,,,,,
35,,,,,,,,,,,,,,,,,200,,,,
36,,,,,,,,,,,,,,,,,,156,,,
37,,,,,,,,,,,,,,,,,,,85,,
38,,,,,,,,,,,,,,,,,,,,248,
