unix_time,S0,S1,S2,S3,S4,F0,F1,F2,F3,F4,
0,1,,,,,,,,,,
1,,1,,,,,,,,,
2,,,1,,,,,,,,
3,,,,1,,,,,,,
4,,,,,1,,,,,,
5,,,,,,1,,,,,
6,,,,,,,38,,,,
7,,,,,,,,178,,,
8,,,,,,,,,143,,
9,,,,,,,,,,249,
10,1,,,,,,,,,,
11,,1,,,,,,,,,
12,,,1,,,,,,,,
13,,,,1,,,,,,,
14,,,,,1,,,,,,
15,,,,,,1,,,,,
16,,,,,,,38,,,,
17,,,,,,,,178,,,
18,,,,,,,,,143,,
19,,,,,,,,,,249,
20,1,,,,,,,,,,
21,,1,,,,,,,,,
22,,,1,,,,,,,,
23,,,,1,,,,,,,
24,,,,,1,,,,,,
25,,,,,,1,,,,,
26,,,,,,,38,,,,
27,,,,,,,,178,,,
28,,,,,,,,,143,,
29,,,,,,,,,,249,
30,1,,,,,,,,,,
31,,1,,,,,,,,,
32,,,1,,,,,,,,
33,,,,1,,,,,,,
34,,,,,1,,,,,,
35,,,,,,1,,,,,
36,,,,,,,38,,,,
37,,,,,,,,178,,,
38,,,,,,,,,143,,
39,,,,,,,,,,249,
40,1,,,,,,,,,,
41,,1,,,,,,,,,
42,,,1,,,,,,,,
43,,,,1,,,,,,,
44,,,,,1,,,,,,
45,,,,,,1,,,,,
46,,,,,,,38,,,,
47,,,,,,,,178,,,
48,,,,,,,,,143,,
49,,,,,,,,,,249,
50,1,,,,,,,,,,
51,,1,,,,,,,,,
52,,,1,,,,,,,,
53,,,,1,,,,,,,
54,,,,,1,,,,,,
55,,,,,,1,,,,,
56,,,,,,,38,,,,
57,,,,,,,,178,,,
58,,,,,,,,,143,,
59,,,,,,,,,,249,
60,1,,,,,,,,,,
61,,1,,,,,,,,,
62,,,1,,,,,,,,
63,,,,1,,,,,,,
64,,,,,1,,,,,,
65,,,,,,1,,,,,
66,,,,,,,38,,,,
67,,,,,,,,178,,,
68,,,,,,,,,143,,
69,,,,,,,,,,249,
70,1,,,,,,,,,,
71,,1,,,,,,,,,
72,,,1,,,,,,,,
73,,,,1,,,,,,,
74,,,,,1,,,,,,
75,,,,,,1,,,,,
76,,,,,,,38,,,,
77,,,,,,,,178,,,
78,,,,,,,,,143,,
79,,,,,,,,,,249,
80,1,,,,,,,,,,
81,,1,,,,,,,,,
82,,,1,,,,,,,,
83,,,,1,,,,,,,
84,,,,,1,,,,,,
85,,,,,,1,,,,,
86,,,,,,,38,,,,
87,,,,,,,,178,,,
88,,,,,,,,,143,,
89,,,,,,,,,,249,
90,1,,,,,,,,,,
91,,1,,,,,,,,,
92,,,1,,,,,,,,
93,,,,1,,,,,,,
94,,,,,1,,,,,,
95,,,,,,1,,,,,
96,,,,,,,38,,,,
97,,,,,,,,178,,,
98,,,,,,,,,143,,
99,,,,,,,,,,249,
100,1,,,,,,,,,,
101,,1,,,,,,,,,
102,,,1,,,,,,,,
103,,,,1,,,,,,,
104,,,,,1,,,,,,
105,,,,,,1,,,,,
106,,,,,,,38,,,,
107,,,,,,,,178,,,
108,,,,,,,,,143,,
109,,,,,,,,,,249,
110,1,,,,,,,,,,
111,,1,,,,,,,,,
112,,,1,,,,,,,,
113,,,,1,,,,,,,
114,,,,,1,,,,,,
115,,,,,,1,,,,,
116,,,,,,,38,,,,
117,,,,,,,,178,,,
118,,,,,,,,,143,,
119,,,,,,,,,,249,
120,1,,,,,,,,,,
121,,1,,,,,,,,,
122,,,1,,,,,,,,
123,,,,1,,,,,,,
124,,,,,1,,,,,,
125,,,,,,1,,,,,
126,,,,,,,38,,,,
127,,,,,,,,178,,,
128,,,,,,,,,143,,
129,,,,,,,,,,249,
130,1,,,,,,,,,,
131,,1,,,,,,,,,
132,,,1,,,,,,,,
133,,,,1,,,,,,,
134,,,,,1,,,,,,
135,,,,,,1,,,,,
136,,,,,,,38,,,,
137,,,,,,,,178,,,
138,,,,,,,,,143,,
139,,,,,,,,,,249,
140,1,,,,,,,,,,
141,,1,,,,,,,,,
142,,,1,,,,,,,,
143,,,,1,,,,,,,
144,,,,,1,,,,,,
145,,,,,,1,,,,,
146,,,,,,,38,,,,
147,,,,,,,,178,,,
148,,,,,,,,,143,,
149,,,,,,,,,,249,
150,1,,,,,,,,,,
151,,1,,,,,,,,,
152,,,1,,,,,,,,
153,,,,1,,,,,,,
154,,,,,1,,,,,,
155,,,,,,1,,,,,
156,,,,,,,38,,,,
157,,,,,,,,178,,,
158,,,,,,,,,143,,
159,,,,,,,,,,249,
160,1,,,,,,,,,,
161,,1,,,,,,,,,
162,,,1,,,,,,,,
163,,,,1,,,,,,,
164,,,,,1,,,,,,
165,,,,,,1,,,,,
166,,,,,,,38,,,,
167,,,,,,,,178,,,
168,,,,,,,,,143,,
169,,,,,,,,,,249,
170,1,,,,,,,,,,
171,,1,,,,,,,,,
172,,,1,,,,,,,,
173,,,,1,,,,,,,
174,,,,,1,,,,,,
175,,,,,,1,,,,,
176,,,,,,,38,,,,
177,,,,,,,,178,,,
178,,,,,,,,,143,,
179,,,,,,,,,,249,
180,1,,,,,,,,,,
181,,1,,,,,,,,,
182,,,1,,,,,,,,
183,,,,1,,,,,,,
184,,,,,1,,,,,,
185,,,,,,1,,,,,
186,,,,,,,38,,,,
187,,,,,,,,178,,,
188,,,,,,,,,143,,
189,,,,,,,,,,249,
190,1,,,,,,,,,,
191,,1,,,,,,,,,
192,,,1,,,,,,,,
193,,,,1,,,,,,,
194,,,,,1,,,,,,
195,,,,,,1,,,,,
196,,,,,,,38,,,,
197,,,,,,,,178,,,
198,,,,,,,,,143,,
199,,,,,,,,,,249,
200,1,,,,,,,,,,
201,,1,,,,,,,,,
202,,,1,,,,,,,,
203,,,,1,,,,,,,
204,,,,,1,,,,,,
205,,,,,,1,,,,,
206,,,,,,,38,,,,
207,,,,,,,,178,,,
208,,,,,,,,,143,,
209,,,,,,,,,,249,
210,1,,,,,,,,,,
211,,1,,,,,,,,,
212,,,1,,,,,,,,
213,,,,1,,,,,,,
214,,,,,1,,,,,,
215,,,,,,1,,,,,
216,,,,,,,38,,,,
217,,,,,,,,178,,,
218,,,,,,,,,143,,
219,,,,,,,,,,249,
220,1,,,,,,,,,,
221,,1,,,,,,,,,
222,,,1,,,,,,,,
223,,,,1,,,,,,,
224,,,,,1,,,,,,
225,,,,,,1,,,,,
226,,,,,,,38,,,,
227,,,,,,,,178,,,
228,,,,,,,,,143,,
229,,,,,,,,,,249,
