unix_time,S0,S1,S2,S3,S4,F0,F1,F2,F3,F4,
0,,,,,,1,,,,,
1,,,,,,1,,,,,
2,,,,,,,158,,,,
3,,,,,,,,25,,,
4,,,,,,,,,84,,
5,,,,,,,,,,133,
6,,,,,,,,,,133,
7,,,,,,,,,,133,
8,,,,,,,,,,133,
9,,,,,,,,,,133,
10,,,,,,,,,,133,
11,,,,,,,,,,133,
12,,,,,,,,,84,,
13,,,,,,,,25,,,
14,,,,,,,158,,,,
15,,,,,,1,,,,,
16,,,,,1,,,,,,
17,,,,1,,,,,,,
18,,,1,,,,,,,,
19,,1,,,,,,,,,
20,,1,,,,,,,,,
21,1,,,,,,,,,,
22,1,,,,,,,,,,
23,1,,,,,,,,,,
24,1,,,,,,,,,,
25,1,,,,,,,,,,
26,1,,,,,,,,,,
27,,1,,,,,,,,,
28,,1,,,,,,,,,
29,,,1,,,,,,,,
30,,,,1,,,,,,,
31,,,,,1,,,,,,
32,,,,,,1,,,,,
33,,,,,,,158,,,,
34,,,,,,,,25,,,
35,,,,,,,,,84,,
36,,,,,,,,,84,,
37,,,,,,,,,,133,
38,,,,,,,,,,133,
39,,,,,,,,,,133,
40,,,,,,,,,,133,
41,,,,,,,,,,133,
42,,,,,,,,,,133,
43,,,,,,,,,84,,
44,,,,,,,,25,,,
45,,,,,,,,25,,,
46,,,,,,,158,,,,
47,,,,,,1,,,,,
48,,,,,1,,,,,,
49,,,,1,,,,,,,
50,,,1,,,,,,,,
51,,1,,,,,,,,,
52,1,,,,,,,,,,
53,1,,,,,,,,,,
54,1,,,,,,,,,,
55,1,,,,,,,,,,
56,1,,,,,,,,,,
57,1,,,,,,,,,,
58,1,,,,,,,,,,
59,,1,,,,,,,,,
60,,,1,,,,,,,,
61,,,,1,,,,,,,
62,,,,,1,,,,,,
63,,,,,,1,,,,,
64,,,,,,,158,,,,
65,,,,,,,,25,,,
66,,,,,,,,25,,,
67,,,,,,,,,84,,
68,,,,,,,,,,133,
69,,,,,,,,,,133,
70,,,,,,,,,,133,
71,,,,,,,,,,133,
72,,,,,,,,,,133,
73,,,,,,,,,,133,
74,,,,,,,,,84,,
75,,,,,,,,,84,,
76,,,,,,,,25,,,
77,,,,,,,158,,,,
78,,,,,,1,,,,,
79,,,,,1,,,,,,
80,,,,1,,,,,,,
81,,,1,,,,,,,,
82,,1,,,,,,,,,
83,,1,,,,,,,,,
84,1,,,,,,,,,,
85,1,,,,,,,,,,
86,1,,,,,,,,,,
87,1,,,,,,,,,,
88,1,,,,,,,,,,
89,1,,,,,,,,,,
90,,1,,,,,,,,,
91,,1,,,,,,,,,
92,,,1,,,,,,,,
93,,,,1,,,,,,,
94,,,,,1,,,,,,
95,,,,,,1,,,,,
96,,,,,,,158,,,,
97,,,,,,,,25,,,
98,,,,,,,,,84,,
99,,,,,,,,,,133,
100,,,,,,,,,,133,
101,,,,,,,,,,133,
102,,,,,,,,,,133,
103,,,,,,,,,,133,
104,,,,,,,,,,133,
105,,,,,,,,,,133,
106,,,,,,,,,84,,
107,,,,,,,,25,,,
108,,,,,,,158,,,,
109,,,,,,1,,,,,
110,,,,,1,,,,,,
111,,,,1,,,,,,,
112,,,,1,,,,,,,
113,,,1,,,,,,,,
114,,1,,,,,,,,,
115,1,,,,,,,,,,
116,1,,,,,,,,,,
117,1,,,,,,,,,,
118,1,,,,,,,,,,
119,1,,,,,,,,,,
120,1,,,,,,,,,,
121,1,,,,,,,,,,
122,,1,,,,,,,,,
123,,,1,,,,,,,,
124,,,,1,,,,,,,
125,,,,,1,,,,,,
126,,,,,,1,,,,,
127,,,,,,,158,,,,
128,,,,,,,,25,,,
129,,,,,,,,,84,,
130,,,,,,,,,84,,
131,,,,,,,,,,133,
132,,,,,,,,,,133,
133,,,,,,,,,,133,
134,,,,,,,,,,133,
135,,,,,,,,,,133,
136,,,,,,,,,,133,
137,,,,,,,,,84,,
138,,,,,,,,,84,,
139,,,,,,,,25,,,
140,,,,,,,158,,,,
141,,,,,,1,,,,,
142,,,,,1,,,,,,
143,,,,1,,,,,,,
144,,,1,,,,,,,,
145,,1,,,,,,,,,
146,,1,,,,,,,,,
147,1,,,,,,,,,,
148,1,,,,,,,,,,
149,1,,,,,,,,,,
150,1,,,,,,,,,,
151,1,,,,,,,,,,
152,1,,,,,,,,,,
153,,1,,,,,,,,,
154,,,1,,,,,,,,
155,,,1,,,,,,,,
156,,,,1,,,,,,,
157,,,,,1,,,,,,
158,,,,,,1,,,,,
159,,,,,,,158,,,,
160,,,,,,,,25,,,
161,,,,,,,,,84,,
162,,,,,,,,,,133,
163,,,,,,,,,,133,
164,,,,,,,,,,133,
165,,,,,,,,,,133,
166,,,,,,,,,,133,
167,,,,,,,,,,133,
168,,,,,,,,,,133,
169,,,,,,,,,84,,
170,,,,,,,,25,,,
171,,,,,,,158,,,,
172,,,,,,1,,,,,
173,,,,,1,,,,,,
174,,,,1,,,,,,,
175,,,1,,,,,,,,
176,,,1,,,,,,,,
177,,1,,,,,,,,,
178,1,,,,,,,,,,
179,1,,,,,,,,,,
