unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,7.425680544316539e-05,0.20697447474676045,0.19308118432372265,0.42020662212181814,0.5083998943145023,0,0
24,0,0,0,0,0,0,0,0,0,0.00029671891194361867,0.00029671891194361867,0.23747658402157504,1.0359012082372918,3.979115315576206,5.594893342862551,9.7445774209683,3.5038107901375386,3.4326425095400945,0.7926311454963473,0
25,0,0,0,0,0,0,0,0,0,0,0.1198115523737673,0.7744809242066398,1.9816137073421622,4.535630750622993,9.165793456204417,1.0958820975457533,2.434823438077245,0.47106325999557364,0,0
26,0,0,0,0,0,0,0,0,0,0.007629948452595281,0.16019726581271163,0.641859012988391,1.8308605816603034,6.347435993984597,0.02441341740263472,0.9484889380349962,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0.599642889258826,0.25333865481135703,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0.005799843939893902,0.02341611764690773,0.4171052021692197,0.6840017485892868,1.5239080185074383,0.41455160326419505,0.006668308830938423,0,0,0,0,0
30,0,0,0,0,0,0,0,0.9413313216626796,0.9413313216626796,0.03343959414257532,1.4209668950125123,5.964221537117751,1.1678680882206185,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0.03439655393997094,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0.47962280366499543,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
