unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
24,0,0,0,0,0,0,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0.25,0.5716673189735081,2.673673728284535,0.7573039215686275,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0.9803921568627451,0.9803921568627451,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.9068767564910232,0.31217426874862375,0,0,0,0
